# center mu_1 mu_2 mu_3 mu_4 mu_5
-1.373574457151374828e+00 -4.079074608163473670e+00 -4.084633626529294403e+00 -4.038986517396008225e+00 -4.063482881395589885e+00 -3.977122168797963209e+00
-1.355181204127652084e+00 -4.078126820351857695e+00 -4.083737666060473614e+00 -4.038165051061714195e+00 -4.062603284228196721e+00 -3.976347231521862202e+00
-1.336899608057290134e+00 -4.078072727911910000e+00 -4.083699565521447639e+00 -4.038198105013758088e+00 -4.062654701069548402e+00 -3.976351683630218403e+00
-1.318663201855244660e+00 -4.078528960833729400e+00 -4.084130484706106401e+00 -4.038555101089899679e+00 -4.063067319863859161e+00 -3.976698302378567806e+00
-1.300449001841609720e+00 -4.078750361583653117e+00 -4.084416487830825560e+00 -4.038804325713940102e+00 -4.063227074767083558e+00 -3.976834965940770239e+00
-1.282297483564014184e+00 -4.079549886966638894e+00 -4.085259755418816141e+00 -4.039736792769477169e+00 -4.064081904168742376e+00 -3.977707220151088130e+00
-1.264199992627307312e+00 -4.079985486545606221e+00 -4.085671111219074447e+00 -4.040215741890702539e+00 -4.064492243176658803e+00 -3.978230175605351526e+00
-1.246159108644981028e+00 -4.080017098483060600e+00 -4.085689905561364910e+00 -4.040203218767772775e+00 -4.064483657924290227e+00 -3.978207338087480061e+00
-1.228173519892823640e+00 -4.080060082255945630e+00 -4.085839638659386708e+00 -4.040428167667333703e+00 -4.064643619873107738e+00 -3.978382240979469131e+00
-1.210185049203141183e+00 -4.080020444550782166e+00 -4.085725888599951006e+00 -4.040284832245801816e+00 -4.064645179077135850e+00 -3.978403234717360348e+00
-1.192196036899047629e+00 -4.080199583716126455e+00 -4.085991445375805498e+00 -4.040535199736575933e+00 -4.064886511588282403e+00 -3.978679559927041698e+00
-1.174192517235153277e+00 -4.079444843959378453e+00 -4.085226299188104093e+00 -4.039644799295557753e+00 -4.063961406314422042e+00 -3.977734210774128698e+00
-1.156190770732255402e+00 -4.080435688891141943e+00 -4.086232043689610904e+00 -4.040651027775589377e+00 -4.065005122070980192e+00 -3.978770828634532464e+00
-1.138200949237115234e+00 -4.079556232909673064e+00 -4.085407120423372618e+00 -4.039821055723858301e+00 -4.064103332166003391e+00 -3.977889618904200564e+00
-1.120198025977088951e+00 -4.079150035627649551e+00 -4.084976087818022350e+00 -4.039302987359962849e+00 -4.063673458242245573e+00 -3.977418931403555291e+00
-1.102191878977375916e+00 -4.079393864273546555e+00 -4.085174470274180791e+00 -4.039497488495459976e+00 -4.063884291003332372e+00 -3.977644415177733261e+00
-1.084185309128906205e+00 -4.079387680618324019e+00 -4.085188316040305523e+00 -4.039530343263712631e+00 -4.063849406450404267e+00 -3.977634722286824687e+00
-1.066187206804159127e+00 -4.078495139629923827e+00 -4.084271643860784451e+00 -4.038688926295547432e+00 -4.062992150987552620e+00 -3.976817735594649683e+00
-1.048174812870868999e+00 -4.079162505365081515e+00 -4.084831362797487486e+00 -4.039199310817743083e+00 -4.063697013519115941e+00 -3.977478245306270921e+00
-1.030161705579434317e+00 -4.078093751677188017e+00 -4.083712038720967996e+00 -4.038154859486927428e+00 -4.062739879932721898e+00 -3.976570618642414345e+00
-1.012132881609700163e+00 -4.078231574937377424e+00 -4.083861269119712034e+00 -4.038331523896652619e+00 -4.062879940753592045e+00 -3.976730204976194116e+00
-9.941124322907208821e-01 -4.078474230774579823e+00 -4.084002431916262665e+00 -4.038369341997674056e+00 -4.063096370479548192e+00 -3.976883038069196630e+00
-9.761089597208905122e-01 -4.078663924991642098e+00 -4.084137971380302545e+00 -4.038459588460128202e+00 -4.063277178923513588e+00 -3.977069779264102323e+00
-9.580924181614736135e-01 -4.078238767503241213e+00 -4.083639098455618566e+00 -4.037998065932210778e+00 -4.062959744293269893e+00 -3.976733520460265403e+00
-9.400722766025446653e-01 -4.077783268829500152e+00 -4.083213763667059126e+00 -4.037649640089722602e+00 -4.062536470187581905e+00 -3.976367073936414975e+00
-9.220530276064107245e-01 -4.078779742089117200e+00 -4.084182765590584907e+00 -4.038588553323920749e+00 -4.063649325066838180e+00 -3.977388614569392189e+00
-9.040311919233799953e-01 -4.078726513751026239e+00 -4.084134336638673091e+00 -4.038527449790774604e+00 -4.063599873560458597e+00 -3.977330569285135287e+00
-8.860206179689869010e-01 -4.078562897943831977e+00 -4.084016794426899466e+00 -4.038510507905900049e+00 -4.063582931514896579e+00 -3.977326849026644684e+00
-8.680222723633296278e-01 -4.078568527513496633e+00 -4.083941798840124093e+00 -4.038415496079577949e+00 -4.063643301921571194e+00 -3.977425098067640441e+00
